YEAR,TEAM,4IN5-B2B GP,4IN5-B2B W%,4IN5-B2B AED,3IN4-B2B GP,3IN4-B2B W%,3IN4-B2B AED,B2B GP,B2B W%,B2B AED,3IN4 GP,3IN4 W%,3IN4 AED,1 DAY GP,1 DAY W%,1 DAY AED,2 DAYS GP,2 DAYS W%,2 DAYS AED,3+ DAYS GP,3+ DAYS W%,3+ DAYS AED
23-24,Atlanta,0,0,0,9,0.333,-6.8,6,0.5,0.5,12,0.333,-3.3,37,0.486,-0.1,14,0.571,4.5,4,0,-0.2
23-24,Boston,0,0,0,11,0.818,24.6,3,1,27.9,11,0.727,20.6,39,0.718,18.1,14,0.857,28.8,4,1,16.7
23-24,Brooklyn,0,0,0,9,0.333,-9,5,0.2,-21.1,10,0.4,1,41,0.415,0.7,12,0.5,-0.6,5,0.2,-7.6
23-24,Charlotte,0,0,0,10,0.2,-17,5,0.4,-7.9,11,0.364,-10.1,38,0.263,-14.8,13,0.077,-17.2,5,0.4,-15.7
23-24,Chicago,0,0,0,11,0.636,-0.1,3,0,-15.4,12,0.417,-1.3,39,0.436,-1.4,12,0.583,0.5,5,0.6,-2.6
23-24,Cleveland,0,0,0,10,0.3,-3.5,5,0.4,-1.9,11,0.727,13.5,39,0.667,6,11,0.364,0.1,6,0.833,7.2
23-24,Dallas,0,0,0,10,0.7,9.1,4,0.5,2.7,9,0.556,-3,43,0.605,2,11,0.545,-2.2,5,0.8,12.3
23-24,Denver,0,0,0,6,0.833,14.9,7,0.571,3.5,10,0.7,15.2,42,0.714,12.6,12,0.667,12.2,5,0.6,13.9
23-24,Detroit,0,0,0,11,0.273,-16.1,4,0.5,-7.4,9,0,-18.3,39,0.179,-16.5,15,0.133,-12,4,0,-18.8
23-24,Golden State,0,0,0,11,0.727,8.3,6,0.333,3.7,16,0.438,-5.1,33,0.576,3.1,10,0.7,5,6,0.5,6
23-24,Houston,0,0,0,8,0.375,-6.9,6,0.167,-11.5,11,0.455,1,41,0.585,4.3,11,0.636,10.5,5,0.2,-12.8
23-24,Indiana,0,0,0,11,0.273,-3.8,2,0,2,10,0.6,6.6,45,0.622,5.9,12,0.667,7.9,3,0.667,15.5
23-24,LA Clippers,0,0,0,11,0.364,2.2,4,0.75,11.8,14,0.429,-5.6,37,0.676,9.6,11,0.909,17.5,5,0.6,0.3
23-24,LA Lakers,0,0,0,8,0.25,-8.4,7,0.857,6.6,10,0.5,-5.4,40,0.675,1.6,14,0.429,-3.8,4,0.5,-4.7
23-24,Memphis,0,0,0,9,0.111,-15.9,5,0.2,-21.1,8,0.5,-16.6,42,0.405,-14.8,14,0.143,-22.6,4,0.5,-3.5
23-24,Miami,0,0,0,10,0.4,-2.2,3,0.667,-3.8,10,0.4,0.6,43,0.558,5.4,12,0.75,10.4,4,0.75,7.1
23-24,Milwaukee,0,0,0,8,0.875,15.5,6,0.5,-2.4,10,0.2,-1.2,40,0.6,3.5,15,0.667,6.9,3,1,4.2
23-24,Minnesota,0,0,0,8,0.5,1,5,0.8,12.5,9,0.444,5.7,44,0.727,6.9,11,0.818,7.5,5,0.6,9.5
23-24,New Orleans,0,0,0,10,0.7,9.1,3,0,-12.1,12,0.417,2.5,41,0.61,5.2,11,0.636,4.8,5,1,25.5
23-24,New York,0,0,0,11,0.545,4.5,2,0,-14.6,10,0.7,6,43,0.605,11.1,11,0.727,10.1,5,0.6,3.5
23-24,Oklahoma City,0,0,0,9,0.444,14,5,0.8,21,13,0.769,11.5,39,0.718,9.4,11,0.727,11.4,5,0.6,4.8
23-24,Orlando,0,0,0,9,0.333,-4.3,6,0.333,-6.3,12,0.833,3,38,0.658,6.7,11,0.455,3.7,6,0.333,0.5
23-24,Philadelphia,0,0,0,10,0.4,7,4,0.75,3.4,9,0.556,3.6,44,0.591,5.7,10,0.7,7.5,5,0.4,3.9
23-24,Phoenix,0,0,0,9,0.778,7.1,5,0.6,9.2,10,0.7,8.4,39,0.538,3.3,15,0.533,3.4,4,0.75,1.7
23-24,Portland,0,0,0,12,0.5,-3.2,2,1,4.4,11,0.273,-16,41,0.146,-18.8,10,0.4,-3.4,6,0,-12.7
23-24,Sacramento,0,0,0,12,0.5,-1.3,3,0,-16.6,9,0.556,1.7,40,0.6,6.2,13,0.462,0.1,5,1,11.1
23-24,San Antonio,0,0,0,7,0.286,-14.2,6,0,-25.1,10,0.2,-23,44,0.341,-10.9,10,0.3,-8.1,5,0,-14.8
23-24,Toronto,0,0,0,13,0.154,-17.5,1,1,-5.2,11,0.364,-15,42,0.262,-11.2,9,0.444,-14.2,6,0.5,-2.7
23-24,Utah,0,0,0,12,0.417,-2.9,1,0,-18.1,11,0.364,-4.1,41,0.39,-2,12,0.417,-5.7,5,0.2,-13
23-24,Washington,0,0,0,9,0,-26.8,4,0,-33,9,0.333,-12.1,44,0.205,-17.7,12,0.25,-19.7,4,0,-26.1
22-23,LA Lakers,0,0,0,10,0.4,-10.7,2,1,8.5,11,0.273,-8.5,42,0.571,-2.3,14,0.571,-2.3,3,0.667,1.2
22-23,Miami,0,0,0,9,0.556,0.2,5,0.4,-2.4,12,0.667,3.4,38,0.553,0.2,15,0.467,-3.3,3,0.333,-10.2
22-23,Atlanta,0,0,0,10,0.3,-6.1,3,0,-7.5,11,0.273,-8.9,42,0.619,0.3,12,0.5,-2.8,4,0.75,3.8
22-23,Minnesota,0,0,0,10,0.5,-5,4,1,2.2,12,0.417,-6.5,39,0.487,-2.8,12,0.417,-4.8,5,0.8,5.5
22-23,Boston,0,0,0,11,0.727,14.8,2,1,8.5,9,0.778,14.3,43,0.721,11.9,12,0.5,7.1,5,0.6,12.4
22-23,Brooklyn,0,0,0,11,0.545,0.8,3,0.333,1.2,12,0.667,2.1,39,0.513,1.9,13,0.692,11.7,4,0.25,-18
22-23,Charlotte,0,0,0,8,0.25,-15.6,4,0.5,-8.7,12,0.417,-10.1,42,0.262,-16,13,0.308,-19.3,3,1,7.4
22-23,Chicago,0,0,0,12,0.417,-6.4,3,0.333,6.6,12,0.333,-7.8,38,0.5,2.2,11,0.636,2.8,6,0.667,7.2
22-23,Cleveland,0,0,0,8,0.5,3.4,4,0.75,12.2,10,0.8,22.1,43,0.674,10,14,0.429,6.1,3,0.333,0.3
22-23,Dallas,0,0,0,9,0.333,1.9,4,0,-5.1,8,0.5,6.4,42,0.571,7.7,17,0.353,3.2,2,0.5,19.9
22-23,Denver,0,0,0,10,0.6,5.2,2,0.5,6.4,7,0.857,16.6,47,0.596,8.1,12,0.75,14.9,4,0.75,7.2
22-23,Detroit,0,0,0,11,0.273,-7.8,3,0,-10.9,13,0.077,-17,38,0.211,-11.6,12,0.25,-12.3,5,0.4,-6.8
22-23,Golden State,0,0,0,11,0.364,-9.3,4,0.75,8.8,11,0.455,-2.8,37,0.541,0.6,15,0.6,0.2,4,0.75,3.1
22-23,Houston,0,0,0,10,0,-22.7,3,0.667,1.5,11,0.273,-14.1,43,0.256,-14.9,11,0.364,-9.1,4,0.5,-7.4
22-23,Indiana,0,0,0,10,0.5,-3.4,4,0.5,-0.6,12,0.167,-11.5,39,0.41,-5.8,12,0.667,-0.8,5,0.4,0.3
22-23,LA Clippers,0,0,0,10,0.1,-15.8,5,0.8,3.5,12,0.667,2.4,39,0.564,1,10,0.4,-10.9,6,0.833,9.3
22-23,Memphis,0,0,0,8,0.375,-10.3,4,0.75,4.3,9,0.778,5.9,43,0.581,1.7,16,0.75,9.6,2,0.5,-6.3
22-23,Milwaukee,0,0,0,11,0.727,2.6,2,1,11.2,9,0.444,-5.1,45,0.733,6.4,10,0.7,6,5,0.8,5.4
22-23,New Orleans,0,0,0,7,0.143,-5.9,5,0.8,2,10,0.5,0.6,42,0.571,2.3,16,0.438,-0.6,2,0.5,4.9
22-23,New York,0,0,0,9,0.444,1.2,3,1,15.2,8,0.625,9.8,48,0.583,6.9,9,0.444,3.9,5,0.6,8.7
